City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Shahrud,IR,36.4182,54.9763,44.31,68,2,7.43,clear sky
294,Athens,GR,37.9795,23.7162,57.13,79,75,11.5,broken clouds
295,Parsons,US,37.3403,-95.2611,45.86,92,100,9.8,overcast clouds
296,Moa,CU,20.6569,-74.9403,75.63,83,99,7.34,overcast clouds
297,Port Augusta,AU,-32.5,137.7667,69.91,55,100,14.74,overcast clouds
298,Laguna,US,38.421,-121.4238,73.4,22,0,11.5,clear sky
299,Tonekabon,IR,36.8163,50.8738,46.35,60,0,3.74,clear sky
300,Sakakah,SA,29.9697,40.2064,65.77,15,5,6.71,clear sky
301,Sistranda,NO,63.7256,8.834,46.36,81,95,7.43,overcast clouds
302,Ban Nahin,LA,18.2418,104.2122,79.29,72,100,3.87,overcast clouds
303,Oga,IT,46.4631,10.347,36.68,84,4,2.28,clear sky
304,Bodden Town,KY,19.2833,-81.25,81.0,77,20,0.0,few clouds
305,Dzaoudzi,YT,-12.7887,45.2699,78.69,89,0,4.61,clear sky
306,Chokurdakh,RU,70.6333,147.9167,12.7,89,44,4.79,scattered clouds
307,Honiara,SB,-9.4333,159.95,85.93,69,58,7.74,broken clouds
308,Manado,ID,1.487,124.8455,90.37,62,20,4.61,few clouds
309,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,42,0,8.05,clear sky
310,Raga,SS,8.4596,25.678,77.81,57,7,4.92,clear sky
311,Shimoda,JP,34.6667,138.95,62.96,82,100,6.22,overcast clouds
312,High Level,CA,58.5169,-117.136,17.71,67,100,11.5,light snow
313,Torbay,CA,47.6666,-52.7314,52.57,97,100,19.57,overcast clouds
314,Andros Town,BS,24.7,-77.7667,76.96,79,2,15.61,clear sky
315,Sarangani,PH,5.4033,125.4636,82.62,75,58,14.32,broken clouds
316,Yar-Sale,RU,66.8333,70.8333,15.04,86,100,8.77,overcast clouds
317,Oranjemund,NA,-28.55,16.4333,61.09,63,0,4.41,clear sky
318,Clyde River,CA,70.4692,-68.5914,-12.77,77,100,6.91,light snow
319,Kati,ML,12.7441,-8.0726,81.81,34,7,3.04,clear sky
320,Yatou,CN,37.15,122.3833,61.9,38,100,8.01,overcast clouds
321,Potam,MX,27.6,-110.3833,80.08,31,92,15.01,overcast clouds
322,Omboue,GA,-1.5746,9.2618,77.29,92,100,3.38,light rain
323,Tafresh,IR,34.692,50.013,41.34,49,0,3.24,clear sky
324,Abu Dhabi,AE,24.4667,54.3667,80.71,46,0,12.66,clear sky
325,Cardston,CA,49.2,-113.3019,35.69,64,54,5.75,broken clouds
326,Port Elizabeth,ZA,-33.918,25.5701,63.32,99,75,10.36,broken clouds
327,Sal Rei,CV,16.1833,-22.9167,68.9,79,19,10.89,few clouds
328,Sorland,NO,67.667,12.6934,42.06,93,100,19.1,overcast clouds
329,Olafsvik,IS,64.8945,-23.7142,42.06,70,100,10.83,overcast clouds
